"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Ontology"
"GO:0005975","carbohydrate metabolic process","46/853","224/11749",0.205357142857143,2.82853583989282,7.73089823356973,7.84732872282508e-11,1.3458168759645e-07,1.17131706620694e-07,"PPP1R3A/PMM1/CHST11/BPGM/GAPDH/TPI1/GBE1/LANCL3/GK2/RGNL/RGN/KL/PGM2L1/CHST9/HAS2/PHKA1/PGK2/OTOG/GANC/PGAM1/PDK1/AMY2A/AGL/ST6GALNAC5/PGM1/PKLR/HEXA/ST8SIA2/PHKB/GPI/LOC121111712/HYAL3/ST6GALNAC4/DCXR/PHKG1/ALDOC/G6PC3/LOC107050147/GPD1/PFKM/ALDOA/ALDOA/ST8SIA5/MYORG/PGM5/FBP2",46,"BP"
"GO:0019752","carboxylic acid metabolic process","55/853","332/11749",0.16566265060241,2.28179423438184,6.62879048107401,5.30784874494319e-09,4.21537268687679e-06,3.66880372563529e-06,"PAH/BPGM/LDHB/TPI1/CYLY/CBS/PDHA2/RGNL/RGN/CRYL1/HACD1/HIBADH/GADL1/ABHD3/DECR1/EPHX1L/LPIN1/HADHB/PGK2/ACSL1/CARNS1/TPH1/LDHA/LOC428872/EGLN3/NOXRED1/C14orf159/ELOVL3/HOGA1/PGAM1/GLS2/GLUL/DDAH1/CYP2AB5/PKLR/GATM/IDH2/GPI/ACSF3/ABAT/ECI1/HPD/ACACB/PSPH/ALDOC/PARK7/DLAT/LOC107050163/PFKM/ALDOA/ALDOA/ACAA2/AGXT2/ANXA1/CDO1",55,"BP"
"GO:0043436","oxoacid metabolic process","55/853","335/11749",0.164179104477612,2.2613602561635,6.55338298849492,7.37382977296232e-09,4.21537268687679e-06,3.66880372563529e-06,"PAH/BPGM/LDHB/TPI1/CYLY/CBS/PDHA2/RGNL/RGN/CRYL1/HACD1/HIBADH/GADL1/ABHD3/DECR1/EPHX1L/LPIN1/HADHB/PGK2/ACSL1/CARNS1/TPH1/LDHA/LOC428872/EGLN3/NOXRED1/C14orf159/ELOVL3/HOGA1/PGAM1/GLS2/GLUL/DDAH1/CYP2AB5/PKLR/GATM/IDH2/GPI/ACSF3/ABAT/ECI1/HPD/ACACB/PSPH/ALDOC/PARK7/DLAT/LOC107050163/PFKM/ALDOA/ALDOA/ACAA2/AGXT2/ANXA1/CDO1",55,"BP"
"GO:0006082","organic acid metabolic process","56/853","351/11749",0.15954415954416,2.19751973093122,6.37301362453408,1.53196550345954e-08,6.56830209608276e-06,5.71665022080427e-06,"PAH/BPGM/LDHB/TPI1/CYLY/CBS/PDHA2/RGNL/RGN/CRYL1/HACD1/HIBADH/GADL1/ABHD3/DECR1/EPHX1L/LPIN1/HADHB/PGK2/CYP2U1/ACSL1/CARNS1/TPH1/LDHA/LOC428872/EGLN3/NOXRED1/C14orf159/ELOVL3/HOGA1/PGAM1/GLS2/GLUL/DDAH1/CYP2AB5/PKLR/GATM/IDH2/GPI/ACSF3/ABAT/ECI1/HPD/ACACB/PSPH/ALDOC/PARK7/DLAT/LOC107050163/PFKM/ALDOA/ALDOA/ACAA2/AGXT2/ANXA1/CDO1",56,"BP"
"GO:0019364","pyridine nucleotide catabolic process","11/853","23/11749",0.478260869565217,6.5874407462154,7.50455320317616,1.66626062945273e-07,5.71527395902285e-05,4.97422646855572e-05,"BPGM/TPI1/PGK2/PGAM1/PKLR/GPI/ALDOC/PFKM/ALDOA/ALDOA/NUDT12",11,"BP"
"GO:0072526","pyridine-containing compound catabolic process","11/853","24/11749",0.458333333333333,6.31296404845643,7.28968915330017,2.87496926964749e-07,7.78567232473688e-05,6.77617514591186e-05,"BPGM/TPI1/PGK2/PGAM1/PKLR/GPI/ALDOC/PFKM/ALDOA/ALDOA/NUDT12",11,"BP"
"GO:0016051","carbohydrate biosynthetic process","15/853","45/11749",0.333333333333333,4.59124658069558,6.75316347754159,3.17782543866811e-07,7.78567232473688e-05,6.77617514591186e-05,"PPP1R3A/CHST11/TPI1/GBE1/RGNL/RGN/CHST9/HAS2/PGK2/AGL/GPI/LOC121111712/PHKG1/G6PC3/FBP2",15,"BP"
"GO:0032787","monocarboxylic acid metabolic process","33/853","179/11749",0.184357541899441,2.53929280161376,5.80636070404842,5.44195187290853e-07,0.000116661843275477,0.000101535365207688,"BPGM/TPI1/PDHA2/CRYL1/HACD1/ABHD3/DECR1/EPHX1L/LPIN1/HADHB/PGK2/ACSL1/LOC428872/ELOVL3/PGAM1/CYP2AB5/PKLR/GATM/GPI/ACSF3/ABAT/ECI1/ACACB/ALDOC/PARK7/DLAT/LOC107050163/PFKM/ALDOA/ALDOA/ACAA2/AGXT2/ANXA1",33,"BP"
"GO:0006936","muscle contraction","17/853","60/11749",0.283333333333333,3.90255959359125,6.30653816494724,7.29559428349728e-07,0.000119720214229388,0.000104197185071212,"LMOD2/CALD1/KCNE2/STAC/CSRP3/PTGER3/TPM1/ADRA1B/MYL2/RNF207/ADRA1A/EDN2/HTR1D/TMOD4/TPM2/PDE4D/TMOD1",17,"BP"
"GO:0019362","pyridine nucleotide metabolic process","15/853","48/11749",0.3125,4.30429366940211,6.41816243885711,8.19599997059928e-07,0.000119720214229388,0.000104197185071212,"NAMPTP1/BPGM/TPI1/PGK2/PGAM1/PKLR/GPI/ALDOC/NMNAT1/GPD1/PFKM/ALDOA/ALDOA/NNT/NUDT12",15,"BP"
